County_FIPS,Unemployment_Rate,,,,,
20075,2.1,,,,,
20077,3.2,,,,,
20079,4,,,,,
20081,2.1,,,,,
20083,2.7,,,,,
20085,3.5,,,,,
20087,4.1,,,,,
20089,4,,,,,
20091,3.3,,,,,
20093,2.5,,,,,
20095,3.1,,,,,
20097,2.8,,,,,
20099,4.8,,,,,
20101,2.7,,,,,
20103,4.3,,,,,
20105,3.3,,,,,
20107,5.9,,,,,
20109,1.9,,,,,
20111,4.3,,,,,
20113,2.9,,,,,
20115,3.8,,,,,
20117,2.8,,,,,
20119,2.2,,,,,
20121,3.9,,,,,
20123,3.1,,,,,
20125,4.9,,,,,
20127,3.9,,,,,
20129,3.6,,,,,
20131,2.4,,,,,
20133,6.2,,,,,
20135,2.6,,,,,
20137,2,,,,,
20139,4.6,,,,,
20141,3.2,,,,,
20143,3.6,,,,,
20145,3.1,,,,,
20147,2.9,,,,,
20149,3.1,,,,,
20151,2.6,,,,,
20153,2.1,,,,,
20155,4,,,,,
20157,2.6,,,,,
20159,3,,,,,
20161,3,,,,,
20163,3.3,,,,,
20165,2.9,,,,,
20167,2.9,,,,,
20169,3.5,,,,,
20171,2.3,,,,,
20173,4.7,,,,,
20175,3.1,,,,,
20177,4.1,,,,,
20179,2.2,,,,,
20181,2.7,,,,,
20183,2.5,,,,,
20185,2.9,,,,,
20187,3.4,,,,,
20189,2.5,,,,,
20191,4.1,,,,,
20193,2.3,,,,,
20195,2.7,,,,,
20197,3.4,,,,,
20199,2.2,,,,,
20201,2.6,,,,,
20203,2.3,,,,,
20205,5.7,,,,,
20207,4.4,,,,,
20209,5.8,,,,,
21001,7.5,,,,,
21003,4.8,,,,,
21005,4.4,,,,,
21007,6.6,,,,,
21009,5.4,,,,,
21011,7.2,,,,,
21013,8.1,,,,,
21015,4.2,,,,,
21017,4.5,,,,,
21019,6.4,,,,,
21021,5.8,,,,,
21023,5.8,,,,,
21025,9.5,,,,,
21027,5.7,,,,,
21029,4.7,,,,,
21031,5.9,,,,,
21033,5.6,,,,,
21035,4.8,,,,,
21037,4.3,,,,,
21039,5.1,,,,,
21041,5.6,,,,,
21043,8.3,,,,,
21045,6.1,,,,,
21047,6.1,,,,,
21049,5,,,,,
21051,9.4,,,,,
21053,7.5,,,,,
21055,5,,,,,
21057,5.7,,,,,
21059,4.6,,,,,
21061,6.7,,,,,
21063,8.8,,,,,
21065,6,,,,,
21067,4,,,,,
21069,6,,,,,
21071,8.2,,,,,
21073,4.4,,,,,
21075,7.1,,,,,
21077,5.5,,,,,
21079,5.2,,,,,
21081,5.3,,,,,
21083,6.3,,,,,
21085,6.7,,,,,
21087,5.2,,,,,
21089,7.1,,,,,
21091,4.8,,,,,
21093,5.2,,,,,
21095,11,,,,,
21097,4.8,,,,,
21099,5.3,,,,,
21101,4.9,,,,,
21103,4.7,,,,,
21105,4.9,,,,,
21107,5.2,,,,,
21109,9,,,,,
21111,4.9,,,,,
21113,4.2,,,,,
21115,7.4,,,,,
21117,4.6,,,,,
21119,8.8,,,,,
21121,8.4,,,,,
21123,5.4,,,,,
21125,6.4,,,,,
21127,8.2,,,,,
21129,7.5,,,,,
21131,9.9,,,,,
21133,10.4,,,,,
21135,7.3,,,,,
21137,7.1,,,,,
21139,7,,,,,
21141,4.8,,,,,
21143,6.4,,,,,
21145,6.1,,,,,
21147,8.6,,,,,
21149,5.1,,,,,
21151,4.3,,,,,
21153,11.1,,,,,
21155,5.1,,,,,
21157,5.8,,,,,
21159,7.3,,,,,
21161,6,,,,,
21163,5.6,,,,,
21165,7.4,,,,,
21167,5.1,,,,,
21169,5.2,,,,,
21171,4.6,,,,,
21173,6.3,,,,,
21175,7.2,,,,,
21177,5.8,,,,,
21179,4.8,,,,,
21181,6.2,,,,,
21183,6.1,,,,,
21185,3.9,,,,,
21187,4,,,,,
21189,8.7,,,,,
21191,5.2,,,,,
21193,8.5,,,,,
21195,8.5,,,,,
21197,7,,,,,
21199,6.1,,,,,
21201,6,,,,,
21203,6.4,,,,,
21205,5.8,,,,,
21207,11.4,,,,,
21209,4,,,,,
21211,4.1,,,,,
21213,4.8,,,,,
21215,4.4,,,,,
21217,5.9,,,,,
21219,4.5,,,,,
21221,5.6,,,,,
21223,6.1,,,,,
21225,5.2,,,,,
21227,4.6,,,,,
21229,4.4,,,,,
21231,7.9,,,,,
21233,4.6,,,,,
21235,7.2,,,,,
21237,9.3,,,,,
21239,3.6,,,,,
22001,6.2,,,,,
22003,7.6,,,,,
22005,5.7,,,,,
22007,8,,,,,
22009,8,,,,,
22011,7.3,,,,,
22013,8,,,,,
22015,6.3,,,,,
22017,7.7,,,,,
22019,6.1,,,,,
22021,8.2,,,,,
22023,5.1,,,,,
22025,8.7,,,,,
22027,8.1,,,,,
22029,8.9,,,,,
22031,8.8,,,,,
22033,6,,,,,
22035,14.7,,,,,
22037,6.7,,,,,
22039,7.2,,,,,
22041,10,,,,,
22043,7.9,,,,,
22045,6.6,,,,,
22047,8,,,,,
22049,6.3,,,,,
22051,6.5,,,,,
22053,6.4,,,,,
22055,5.4,,,,,
22057,5.4,,,,,
22059,5.5,,,,,
22061,7.8,,,,,
22063,5.9,,,,,
22065,11,,,,,
22067,11.5,,,,,
22069,8.1,,,,,
22071,7.4,,,,,
22073,7.3,,,,,
22075,6.4,,,,,
22077,7.2,,,,,
22079,7,,,,,
22081,8.1,,,,,
22083,8.6,,,,,
22085,7.2,,,,,
22087,7.3,,,,,
22089,6.4,,,,,
22091,9.7,,,,,
22093,8.9,,,,,
22095,7.9,,,,,
22097,8,,,,,
22099,6.1,,,,,
22101,6.9,,,,,
22103,6.1,,,,,
22105,7.7,,,,,
22107,9.7,,,,,
22109,5.4,,,,,
22111,8.2,,,,,
22113,6.2,,,,,
22115,9.2,,,,,
22117,8.4,,,,,
22119,9.1,,,,,
22121,6.4,,,,,
22123,13.8,,,,,
22125,6.2,,,,,
22127,8.4,,,,,
23001,4.9,,,,,
